     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0       9.0       8.5       2.2       250      0.00         2
        10       9.0       8.5       2.3       250      0.00         2
        31       9.1       8.5       2.6       250      0.00         2
        49       9.2       8.5       3.4       400      0.05         6
        67       9.5       8.5       4.6       800      0.12        17
        84       9.8       8.7       5.3      1000      0.21        33
       102      10.3       9.1       5.5      1000      0.23        42
       120      10.8       9.6       5.3      1100      0.38        40
       137      11.4      10.0       6.2      1350      0.36        43
       155      12.3      10.9       6.2      1050      0.46        55
       177      12.9      11.5       6.5      1100      0.52        63
       195      13.6      12.3       6.1      1150      0.53        61
       212      14.3      13.0       5.8       750      0.59        61
       228      14.9      13.6       6.0       750      0.56        62
       243      15.5      14.3       5.6       950      0.58        56
       259      16.2      14.8       6.3      1200      0.62        53
       276      16.9      15.3       6.9      1050      0.66        63
       294      17.6      16.1       6.6      1100      0.65        68
       312      18.3      17.0       5.8      1100      0.65        65
       327      18.9      17.6       6.0       700      0.69        64
       343      19.5      18.1       6.1       750      0.66        65
       358      20.1      18.8       5.9      1000      0.68        59
       374      20.7      19.4       6.0      1050      0.64        58
       391      21.4      20.1       6.2       900      0.68        64
       409      22.1      20.7       6.8      1150      0.68        67
       427      22.8      21.4       6.5      1100      0.71        66
       443      23.5      22.1       6.2       800      0.70        71
       460      24.2      22.9       5.9       900      0.67        66
       477      24.9      23.5       6.0      1050      0.70        61
       495      25.6      24.1       6.6       900      0.69        68
       513      26.3      24.9       6.2      1000      0.68        68
       530      27.0      25.6       6.5      1050      0.70        68
       548      27.7      26.2       6.6       850      0.68        73
       566      28.4      27.0       6.2      1000      0.69        68
       582      29.0      27.6       6.5      1000      0.69        66
       599      29.7      28.3       6.6       850      0.70        72
       616      30.4      28.9       6.7      1100      0.68        71
       632      31.0      29.6       6.5       950      0.74        71
       648      31.7      30.2       6.6       850      0.71        75
       663      32.3      31.0       5.9       950      0.70        71
       678      32.9      31.6       6.0       950      0.69        68
       696      33.6      32.2       6.1       750      0.69        73
       714      34.3      32.9       6.3      1050      0.68        70
       731      35.0      33.6       6.5       950      0.70        73
       749      35.7      34.3       6.6       900      0.65        77
       767      36.4      35.0       6.2      1000      0.70        71
       783      37.0      35.5       6.9       850      0.70        75
       800      37.7      36.3       6.6       950      0.70        76
       818      38.4      37.1       6.2       950      0.71        74
       835      39.1      37.7       6.3       700      0.68        78
       853      39.9      38.5       6.1       950      0.70        71
       870      40.6      39.1       6.7       850      0.69        74
       888      41.3      39.9       6.3       900      0.68        79
       906      42.0      40.5       6.5      1100      0.71        76
       924      42.7      41.2       6.6       750      0.69        80
       941      43.4      42.0       6.3       850      0.66        73
       959      44.1      42.7       6.5       850      0.68        73
       977      44.8      43.2       7.1      1000      0.69        81
       994      45.5      43.9       7.2      1200      0.71        81
      1010      46.1      44.6       6.9       750      0.71        86
      1027      46.8      45.4       6.6       850      0.65        78
      1045      47.5      46.1       6.2       750      0.73        78
      1063      48.2      46.6       7.2      1000      0.69        84
      1080      48.9      47.5       6.6      1000      0.69        82
      1098      49.6      48.2       6.7       650      0.69        84
      1116      50.3      48.8       6.8       950      0.71        78
      1133      51.0      49.5       6.9       850      0.69        82
      1151      51.7      50.3       6.6       900      0.69        82
      1169      52.4      51.0       6.8       900      0.71        83
      1186      53.1      51.6       6.9       850      0.67        86
      1204      53.8      52.4       6.6      1000      0.71        81
      1222      54.5      53.0       7.2       800      0.66        87
      1239      55.2      53.7       6.8      1050      0.69        85
      1257      56.0      54.3       7.4       800      0.74        91
      1275      56.7      55.1       7.2      1050      0.68        88
      1292      57.4      56.0       6.3       600      0.69        87
      1310      58.1      56.5       6.9       850      0.71        87
      1328      58.8      57.2       7.1       900      0.74        88
      1345      59.5      58.0       6.8       800      0.69        88
      1363      60.2      58.9       6.0       750      0.65        80
      1381      60.9      59.4       6.6       750      0.69        84
      1398      61.6      59.9       7.5      1200      0.69        86
      1416      62.3      60.7       7.2       900      0.72        94
      1434      63.0      61.5       7.1       950      0.69        87
      1451      63.7      62.2       6.7       600      0.69        87
      1467      64.3      62.8       6.8       850      0.63        88
      1482      64.9      63.4       7.1       950      0.67        88
