     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0       9.5       9.0       2.2       250      0.00         3
        10       9.5       9.0       2.2       200      0.00         3
        29       9.5       9.0       2.4       200      0.02         2
        46       9.7       8.9       3.6       350      0.04         5
        64       9.9       9.0       4.2       850      0.10        16
        81      10.3       9.1       5.4      1100      0.17        26
        97      10.6       9.4       5.6      1250      0.24        33
       112      11.0       9.7       5.9      1400      0.33        38
       128      11.6      10.2       6.0      1350      0.34        42
       143      12.2      10.8       6.5      1000      0.44        53
       165      12.8      11.4       6.2       950      0.47        59
       181      13.3      12.1       5.6      1000      0.48        55
       196      13.8      12.6       5.4       900      0.53        51
       212      14.4      13.1       5.6       700      0.52        51
       227      14.9      13.7       5.4       700      0.53        50
       245      15.5      14.3       5.5       950      0.50        45
       260      16.0      14.8       5.6      1150      0.52        43
       276      16.5      15.2       6.3      1150      0.55        49
       291      17.1      15.6       6.6      1000      0.60        60
       307      17.6      16.2       6.3      1000      0.59        63
       322      18.1      16.9       5.6      1000      0.59        58
       338      18.7      17.5       5.5       700      0.60        55
       353      19.2      17.9       5.6       700      0.62        57
       369      19.7      18.5       5.4       800      0.57        53
       384      20.2      19.1       5.2       950      0.57        46
       399      20.8      19.5       5.8      1050      0.57        48
       415      21.3      20.0       6.0       900      0.61        56
       430      21.8      20.5       6.2       950      0.59        61
       446      22.4      21.1       5.6      1000      0.60        58
       461      22.9      21.6       5.8       850      0.62        58
       477      23.4      22.2       5.6       700      0.59        60
       492      24.0      22.8       5.4       750      0.59        56
       508      24.5      23.3       5.6      1000      0.57        50
       523      25.0      23.7       5.8      1050      0.60        51
       539      25.5      24.2       6.0       850      0.58        59
       554      26.1      24.8       5.6       900      0.61        62
       570      26.6      25.3       5.9      1050      0.58        59
       585      27.1      25.9       5.6       800      0.61        60
       601      27.6      26.3       5.9       750      0.62        63
       616      28.2      26.9       5.6       850      0.57        60
       631      28.7      27.5       5.5       950      0.61        55
       647      29.2      27.9       6.1       850      0.58        58
       662      29.8      28.5       5.9       850      0.61        65
       678      30.3      28.9       6.1      1000      0.61        64
       693      30.8      29.5       5.9       900      0.59        62
       709      31.4      30.1       5.6       600      0.61        63
       724      31.9      30.6       5.9       800      0.59        63
       740      32.4      31.2       5.6       900      0.61        56
       755      32.9      31.7       5.8       900      0.59        56
       771      33.5      32.2       5.6       750      0.58        62
       786      34.0      32.7       5.8       950      0.58        63
       802      34.5      33.2       6.0      1050      0.62        62
       817      35.1      33.7       6.2       750      0.57        64
       833      35.6      34.4       5.6       750      0.61        68
       848      36.1      34.7       6.2       950      0.60        62
       863      36.6      35.3       6.0       950      0.59        61
       879      37.2      35.9       5.8       750      0.60        68
       894      37.7      36.4       6.0       900      0.59        67
       910      38.2      37.0       5.8       900      0.60        64
       925      38.8      37.4       6.0       650      0.62        66
       941      39.3      38.0       5.8       750      0.59        68
       956      39.8      38.6       5.6       850      0.56        61
       972      40.3      39.1       5.6       900      0.59        61
       987      40.9      39.5       6.3       750      0.60        68
      1003      41.4      40.0       6.1       900      0.61        68
      1018      41.9      40.6       5.9       950      0.62        66
      1034      42.5      41.2       5.6       650      0.57        69
      1049      43.0      41.8       5.5       700      0.61        67
      1065      43.5      42.2       6.1       900      0.59        61
      1080      44.1      42.7       5.9       800      0.58        62
      1095      44.6      43.2       6.1       850      0.57        70
      1111      45.1      43.7       6.3      1050      0.63        69
      1129      45.7      44.3       6.5       850      0.60        73
      1146      46.3      45.1       5.6       700      0.60        73
      1164      46.9      45.6       5.8       850      0.55        65
      1179      47.5      46.1       6.0       700      0.59        65
      1195      48.0      46.5       6.7       850      0.59        72
      1210      48.5      47.1       6.5      1000      0.61        71
      1226      49.0      47.7       6.2       750      0.59        70
      1241      49.6      48.2       6.0       650      0.61        73
      1257      50.1      48.7       6.1       850      0.56        68
      1272      50.6      49.3       5.9       850      0.63        66
      1288      51.1      49.7       6.6       800      0.59        73
      1303      51.7      50.4       5.9       900      0.59        73
      1319      52.2      50.9       6.1       900      0.60        71
      1334      52.7      51.3       6.3       700      0.62        76
      1350      53.3      51.9       6.1       800      0.57        73
      1365      53.8      52.5       5.9       900      0.60        69
      1380      54.3      52.9       6.6       800      0.61        75
      1396      54.9      53.5       6.3       900      0.56        76
      1411      55.4      54.0       6.1       900      0.60        74
      1427      55.9      54.4       6.8       700      0.65        79
      1442      56.5      55.0       6.6       900      0.56        76
      1458      57.0      55.8       5.4       700      0.57        70
      1473      57.5      56.1       6.5       750      0.34        75
      1489      58.0      56.5       6.7       900      0.53        76
