     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0       9.9       9.5       2.2       350      0.00         3
        10      10.0       9.4       2.7       300     -0.17         2
        32      10.0       9.5       2.6       400     -0.08         3
        49      10.2       9.5       3.4       500     -0.06         5
        67      10.5       9.5       4.6      1000      0.05        12
        83      10.8       9.6       5.5      1300      0.15        23
       100      11.2       9.9       5.6      1450      0.19        32
       118      11.8      10.5       5.8      1150      0.27        43
       142      12.3      11.1       5.5       800      0.33        50
       160      12.8      11.7       5.2       850      0.35        49
       177      13.3      12.3       4.8       800      0.38        42
       195      13.8      12.7       4.9       750      0.37        40
       213      14.3      13.2       5.0       700      0.45        41
       230      14.8      13.6       5.6       750      0.41        44
       248      15.3      14.3       4.7       900      0.42        40
       266      15.8      14.7       5.3      1050      0.43        37
       283      16.3      15.1       5.8      1200      0.46        42
       301      16.8      15.5       5.9       900      0.51        51
       319      17.3      16.1       5.6       850      0.49        55
       336      17.9      16.8       4.8       800      0.49        47
       354      18.4      17.3       4.9       750      0.49        43
       372      18.9      17.8       5.0       650      0.50        45
       389      19.3      18.2       5.0       700      0.49        46
       405      19.8      18.7       4.9       850      0.46        42
       422      20.3      19.2       5.0       950      0.46        37
       440      20.8      19.6       5.5      1100      0.50        43
       456      21.3      20.0       5.8       850      0.50        51
       473      21.8      20.6       5.5       850      0.49        55
       491      22.2      21.1       5.0       850      0.52        48
       509      22.7      21.6       5.2       800      0.50        47
       526      23.3      22.2       4.8       600      0.50        49
       544      23.8      22.7       4.9       650      0.47        47
       562      24.3      23.2       5.0       950      0.48        42
       579      24.8      23.5       5.6      1100      0.47        42
       597      25.3      24.0       5.6       900      0.53        50
       615      25.8      24.5       5.8       800      0.50        56
       632      26.3      25.2       4.9       900      0.50        51
       650      26.8      25.7       5.0       800      0.50        48
       668      27.3      26.2       5.2       550      0.49        50
       685      27.8      26.6       5.3       750      0.49        50
       703      28.3      27.1       5.4       950      0.49        45
       721      28.8      27.6       5.5      1050      0.47        45
       738      29.3      28.1       5.6       800      0.51        51
       754      29.7      28.5       5.8       800      0.53        58
       771      30.3      29.0       5.5       900      0.49        54
       789      30.8      29.7       4.7       800      0.48        51
       807      31.3      30.1       5.3       550      0.51        51
       823      31.7      30.5       5.5       750      0.50        52
       840      32.2      31.1       5.2       900      0.47        46
       857      32.7      31.6       5.3      1000      0.50        46
       875      33.2      31.9       5.6       700      0.49        53
       893      33.7      32.5       5.4       750      0.49        55
       910      34.2      33.0       5.5      1000      0.51        53
       928      34.7      33.5       5.6       800      0.49        54
       946      35.2      34.1       5.3       600      0.50        57
       964      35.7      34.5       5.4       700      0.46        53
       981      36.2      35.0       5.5       950      0.50        48
       999      36.7      35.4       6.0       850      0.49        52
      1017      37.2      36.0       5.6       750      0.51        60
      1034      37.7      36.5       5.6       900      0.52        56
      1052      38.2      37.1       5.4       850      0.51        54
      1070      38.7      37.6       5.0       550      0.50        56
      1087      39.3      38.1       5.2       700      0.49        56
      1105      39.8      38.6       5.3       800      0.47        49
      1123      40.3      39.1       5.4       850      0.50        51
      1140      40.7      39.5       5.8       700      0.48        59
      1158      41.3      40.0       5.5       850      0.49        58
      1176      41.8      40.5       5.6       900      0.51        55
      1193      42.3      41.0       5.6       600      0.52        58
      1211      42.8      41.6       5.4       650      0.48        56
      1229      43.3      42.2       5.0       800      0.49        49
      1246      43.8      42.6       5.6       900      0.48        50
      1264      44.3      43.0       5.6       750      0.51        60
      1282      44.8      43.5       5.6       900      0.49        62
      1299      45.3      44.1       5.4       950      0.51        60
      1317      45.8      44.6       5.5       550      0.50        62
      1335      46.3      45.2       5.2       550      0.50        58
      1352      46.8      45.6       5.3       800      0.47        51
      1370      47.3      46.1       5.4       750      0.48        53
      1388      47.8      46.5       5.9       800      0.52        63
      1405      48.3      47.0       6.0       900      0.50        63
      1423      48.8      47.7       5.2       750      0.53        61
      1441      49.3      48.2       5.3       450      0.48        62
      1458      49.8      48.7       4.9       700      0.47        56
      1476      50.3      49.1       5.5       900      0.50        53
      1494      50.8      49.5       6.0       750      0.48        60
      1511      51.3      50.1       5.6       750      0.48        65
      1529      51.8      50.6       5.8       850      0.51        61
      1547      52.4      51.0       5.9       600      0.51        63
      1564      52.8      51.6       5.5       650      0.51        64
      1580      53.3      52.1       5.4       750      0.47        57
      1597      53.8      52.6       5.5       850      0.50        56
      1615      54.3      53.0       5.9       750      0.49        65
      1633      54.8      53.6       5.6       850      0.49        65
      1650      55.3      54.0       5.6       800      0.50        63
      1665      55.7      54.4       5.9       600      0.55        67
      1684      56.2      55.0       5.6       750      0.48        64
      1700      56.7      55.7       4.6       650      0.46        57
      1717      57.2      56.0       5.5       550      0.52        58
      1733      57.6      56.3       6.2       800      0.47        66
      1750      58.1      56.9       5.5       900      0.53        63
      1767      58.6      57.3       5.9       700      0.52        66
      1785      59.1      58.0       5.2       550      0.49        66
      1803      59.6      58.6       4.8       700      0.47        56
      1820      60.1      59.0       5.4       650      0.48        55
      1838      60.6      59.3       5.9       700      0.50        63
      1856      61.2      59.8       6.0       950      0.49        65
      1873      61.7      60.4       5.6       850      0.51        66
      1891      62.1      60.9       5.6       600      0.55        70
      1909      62.7      61.5       5.4       600      0.47        61
      1926      63.2      62.1       4.6       600      0.47        55
      1944      63.7      62.4       5.6       600      0.50        61
      1962      64.2      62.8       6.1       900      0.48        65
      1979      64.7      63.4       5.8       900      0.59        66
      1997      65.2      63.9       5.9       550      0.47        70
