     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0      10.5       9.9       2.6       250      0.00         2
        10      10.5      10.0       2.2       250      0.17         2
        31      10.6      10.0       2.4       350      0.11         4
        49      10.8       9.9       3.7       600      0.15         6
        66      11.0      10.0       4.5      1000      0.20        14
        83      11.3      10.2       4.9      1100      0.22        22
       100      11.8      10.6       5.5       950      0.29        35
       124      12.2      11.1       5.0       750      0.31        42
       141      12.6      11.6       4.7       700      0.32        40
       159      13.0      12.1       4.3       750      0.31        34
       177      13.4      12.4       4.3       800      0.33        30
       195      13.8      12.7       4.9       850      0.36        30
       212      14.2      13.1       5.0       700      0.38        33
       230      14.6      13.6       4.6       700      0.35        38
       248      15.0      14.1       4.2       750      0.34        35
       265      15.4      14.4       4.8       900      0.34        30
       283      15.8      14.7       5.3      1100      0.35        29
       298      16.2      15.0       5.6      1200      0.37        33
       316      16.6      15.3       5.6       950      0.42        40
       332      16.9      15.7       5.5       750      0.42        48
       349      17.3      16.3       4.7       700      0.42        44
       367      17.8      16.8       4.3       650      0.39        37
       383      18.1      17.2       4.1       800      0.39        32
       400      18.5      17.5       4.7       700      0.42        33
       418      18.9      17.9       4.8       650      0.40        37
       435      19.3      18.3       4.3       700      0.40        38
       453      19.7      18.7       4.5       850      0.37        34
       471      20.1      19.1       4.6      1000      0.38        31
       488      20.5      19.4       5.0      1100      0.40        33
       506      20.9      19.8       5.2       900      0.39        40
       524      21.3      20.3       4.8       700      0.41        46
       541      21.7      20.7       4.8       750      0.40        44
       559      22.1      21.1       4.5       800      0.40        38
       577      22.5      21.5       4.6       800      0.39        36
       594      22.9      21.9       4.6       650      0.41        38
       612      23.3      22.3       4.7       700      0.40        42
       630      23.7      22.8       4.3       650      0.38        38
       647      24.1      23.2       4.5       850      0.37        32
       665      24.5      23.4       4.9      1050      0.35        31
       681      24.9      23.7       5.3      1050      0.41        36
       698      25.3      24.0       5.6       850      0.42        46
       716      25.7      24.6       4.9       700      0.40        49
       733      26.1      25.1       4.6       700      0.42        42
       751      26.5      25.5       4.7       800      0.39        38
       769      26.9      26.0       4.2       600      0.39        37
       786      27.3      26.2       4.8       600      0.39        40
       804      27.7      26.6       4.9       750      0.41        43
       822      28.1      27.0       4.9       850      0.35        38
       839      28.5      27.5       4.6       850      0.37        35
       857      28.9      27.7       5.6       950      0.42        39
       875      29.3      28.1       5.6       750      0.40        47
       892      29.7      28.7       4.8       700      0.42        49
       910      30.1      29.0       4.9       750      0.41        43
       928      30.5      29.5       4.5       750      0.40        40
       945      30.9      29.9       4.6       550      0.40        40
       963      31.3      30.3       4.7       600      0.42        43
       981      31.7      30.7       4.7       750      0.38        42
       998      32.1      31.2       4.3       800      0.39        35
      1016      32.5      31.5       4.9      1000      0.39        36
      1034      32.9      31.8       4.9       800      0.41        41
      1051      33.3      32.2       5.0       650      0.37        47
      1069      33.8      32.7       4.7       700      0.41        46
      1087      34.2      33.0       5.3       900      0.39        43
      1104      34.5      33.5       4.8       800      0.42        43
      1122      35.0      33.9       4.9       550      0.40        46
      1140      35.4      34.4       4.6       600      0.40        46
      1157      35.8      34.7       4.6       750      0.35        40
      1175      36.2      35.1       4.7       900      0.40        37
      1191      36.5      35.3       5.5       950      0.38        42
      1208      36.9      35.8       5.0       650      0.41        48
      1226      37.3      36.2       5.2       700      0.40        50
      1243      37.7      36.7       4.8       800      0.40        45
      1260      38.1      37.1       4.6       750      0.40        43
      1277      38.5      37.4       4.7       550      0.39        44
      1294      38.9      37.8       4.8       600      0.41        46
      1312      39.3      38.2       4.8       700      0.38        42
      1330      39.7      38.7       4.5       850      0.36        37
      1347      40.1      39.0       5.0      1000      0.39        40
      1365      40.5      39.3       5.5       700      0.41        48
      1383      40.9      39.8       5.2       650      0.40        51
      1400      41.3      40.2       4.8       750      0.39        46
      1418      41.7      40.6       4.8       800      0.42        44
      1436      42.1      41.0       4.9       600      0.41        46
      1453      42.5      41.5       4.6       500      0.38        47
      1470      42.8      41.9       4.3       600      0.39        42
      1487      43.3      42.2       4.9       850      0.36        37
      1504      43.7      42.6       5.0      1000      0.37        39
      1522      44.1      42.8       5.5       750      0.43        48
      1540      44.5      43.2       5.6       750      0.38        55
      1557      44.9      43.8       4.8       750      0.41        51
      1575      45.3      44.1       5.3       750      0.45        50
      1593      45.7      44.6       4.9       450      0.40        50
      1610      46.1      45.2       4.1       450      0.40        45
      1628      46.5      45.5       4.6       650      0.35        37
      1646      46.9      45.8       4.7       900      0.37        37
      1663      47.3      46.0       5.6       900      0.37        44
      1681      47.7      46.4       5.6       800      0.42        55
      1699      48.1      46.8       5.8       800      0.42        57
      1716      48.5      47.4       5.0       750      0.43        51
      1734      48.9      47.9       4.7       450      0.40        50
      1752      49.3      48.3       4.2       400      0.41        48
      1768      49.6      48.6       4.6       600      0.38        44
      1785      50.1      49.0       4.7       850      0.36        39
      1802      50.4      49.3       5.2       900      0.39        41
      1820      50.9      49.6       5.6       750      0.41        51
      1838      51.3      50.1       5.4       750      0.40        57
      1855      51.7      50.6       4.9       750      0.39        52
      1873      52.1      51.0       5.0       650      0.42        50
      1891      52.5      51.3       5.2       450      0.43        52
      1908      52.9      51.8       4.7       550      0.36        49
      1926      53.3      52.3       4.3       600      0.36        40
      1944      53.7      52.5       5.4       950      0.41        42
      1961      54.1      52.8       5.8       800      0.39        53
      1979      54.5      53.4       5.0       700      0.56        59
      1997      54.9      53.7       5.2       750      0.37        54
